ampl: display Y;
Y [M1,*,Buraki,*] (tr)
:   S1 S10    S2   S3  S4  S5    S6    S7  S8  S9    :=
36   0.59   0       0      0      3.66   1.28   0   0   0   0.63
37   5.4    0.78    0      0      2.83   0.91   0   0   0   1.56
38   0      1.68    0      1.61   0      0.82   0   0   0   0
39   3.88   0       0      1.32   3.02   0.73   0   0   0   0
40   0      0       0      2.44   2.44   3.78   0   0   0   0.49
41   1.56   0.48    0      2.46   1.79   0      0   0   0   0.95
42   2.65   0.89    0      2.02   0.72   0      0   0   0   0
43   2.94   0       0      0.43   0      0      0   0   0   0
44   1.34   0       0      0      0      0      0   0   0   0.23
45   0      0.18    0      0      0      0      0   0   0   0.79
46   0      0.69    0      0      0      0      0   0   0   0
47   0      0       0      0      0      0      0   0   0   0
48   0      0       0      0      0      0      0   0   0   0
49   0      0       0      0      0      0      0   0   0   0
50   0      0       0      0      0      0      0   0   0   0
51   0      0       0      0      0      0      0   0   0   0
52   0.44   0.11    0      0.29   0.43   0.16   0   0   0   0.1

 [M2,*,Kapusta,*] (tr)
:     S1  S10    S2   S3  S4  S5  S6  S7  S8    S9     :=
1    0.84   0   0      0   0   0   0   0   0   0.48
2    0.34   0   0      0   0   0   0   0   0   0.08
3    0.34   0   0      0   0   0   0   0   0   0.08
4    0.34   0   0      0   0   0   0   0   0   0.08
5    0.34   0   0      0   0   0   0   0   0   0.08
6    0.37   0   0      0   0   0   0   0   0   0.09
7    0.63   0   0      0   0   0   0   0   0   0.13
8    0.87   0   0      0   0   0   0   0   0   0.2
9    1.06   0   0      0   0   0   0   0   0   0.19
10   1.26   0   0      0   0   0   0   0   0   0.24
11   1.22   0   0      0   0   0   0   0   0   0.35
12   1.7    0   2.35   0   0   0   0   0   0   0.42
13   2      0   0      0   0   0   0   0   0   0.44
14   1.61   0   2.82   0   0   0   0   0   0   0.4
15   1.88   0   0      0   0   0   0   0   0   0.48
16   2.15   0   0      0   0   0   0   0   0   0.58
17   2.06   0   0      0   0   0   0   0   0   0.6
18   3.02   0   0      0   0   0   0   0   0   0.66
19   3.09   0   0      0   0   0   0   0   0   4.87
20   2.87   0   0      0   0   0   0   0   0   0
21   3.4    0   0      0   0   0   0   0   0   0
22   3.54   0   0      0   0   0   0   0   0   0
23   3.69   0   0      0   0   0   0   0   0   0
24   2.66   0   0      0   0   0   0   0   0   0
25   2.81   0   0      0   0   0   0   0   0   0.98
26   3.48   0   0      0   0   0   0   0   0   0.71
27   2.85   0   0      0   0   0   0   0   0   2.32
28   3.76   0   0      0   0   0   0   0   0   0
29   3.7    0   0      0   0   0   0   0   0   0
30   3.01   0   0      0   0   0   0   0   0   1.76
31   2.98   0   0      0   0   0   0   0   0   0
32   3.2    0   0      0   0   0   0   0   0   0.65
33   3.22   0   0      0   0   0   0   0   0   0.73
34   6.17   0   0      0   0   0   0   0   0   3.04
35   5.03   0   0      0   0   0   0   0   0   0
36   0      0   0      0   0   0   0   0   0   0
37   0      0   0      0   0   0   0   0   0   0
38   0      0   0      0   0   0   0   0   0   0
39   2.01   0   0      0   0   0   0   0   0   0
40   4.18   0   0      0   0   0   0   0   0   0.36
41   2.67   0   0      0   0   0   0   0   0   0.92
42   1.25   0   0      0   0   0   0   0   0   0
43   0      0   0      0   0   0   0   0   0   0
44   0      0   0      0   0   0   0   0   0   0.22
